"species","colour","cluster","cluster_int"
"Zygnema","#00AA5A","E",5
"Crassula.aquatica","#00AA5A","E",5
"Persicaria.foliosa","#00AA5A","E",5
"Elodea.canadensis","#00AA5A","E",5
"Elodea.nuttallii","#00AA5A","E",5
"Equisetum.fluviatile","#00AA5A","E",5
"Potamogeton.friesii","#00AA5A","E",5
"Sagittaria.natans","#00AA5A","E",5
"Chara.braunii","#00AA5A","E",5
"Nitella.wahlbergiana","#00AA5A","E",5
"Potamogeton.gramineus","#00A6CA","D",4
"Callitriche.hermaphroditica","#00A6CA","D",4
"Myriophyllum.alterniflorum","#00A6CA","D",4
"Eleocharis.uniglumis","#00A6CA","D",4
"Limosella.aquatica","#00A6CA","D",4
"Potamogeton.pusillus","#00A6CA","D",4
"Eleocharis.acicularis","#00A6CA","D",4
"Subularia.aquatica","#00A6CA","D",4
"Callitriche.palustris","#00A6CA","D",4
"Potamogeton.berchtoldii","#00A6CA","D",4
"Ranunculus.reptans","#00A6CA","D",4
"Caltha.palustris","#00A6CA","D",4
"Elatine.hydropiper","#00A6CA","D",4
"Fontinalis.hypnoides","#00A6CA","D",4
"Eleocharis.mamillata","#00A6CA","D",4
"Cicuta.virosa","#00A6CA","D",4
"Alisma.wahlenbergii","#00A6CA","D",4
"Eleocharis.parvula","#00A6CA","D",4
"Lemna.trisulca","#00A6CA","D",4
"Myriophyllum.sibiricum","#00A6CA","D",4
"Hippuris.vulgaris","#00A6CA","D",4
"Schoenoplectus.tabernaemontani","#00A6CA","D",4
"Eleocharis.palustris","#00A6CA","D",4
"Ranunculus.peltatus.peltatus","#00A6CA","D",4
"Chara.virgata","#00A6CA","D",4
"Triglochin.maritima","#00A6CA","D",4
"Potamogeton.obtusifolius","#00A6CA","D",4
"Utricularia.vulgaris","#00A6CA","D",4
"Sagittaria.sagittifolia","#E16A86","C",3
"Sparganium.emersum","#E16A86","C",3
"Schoenoplectus.lacustris","#E16A86","C",3
"Potamogeton.natans","#E16A86","C",3
"Nuphar.lutea","#E16A86","C",3
"Nymphaea.alba","#E16A86","C",3
"Myriophyllum.verticillatum","#E16A86","C",3
"Typha.latifolia","#E16A86","C",3
"Butomus.umbellatus","#E16A86","C",3
"Potamogeton.crispus","#E16A86","C",3
"Najas.marina","#E16A86","C",3
"Typha.angustifolia","#E16A86","C",3
"Ceratophyllum.demersum","#E16A86","C",3
"Phragmites.australis","#E16A86","C",3
"Chara.connivens","#B675E0","B",2
"Rhizoclonium.riparium","#B675E0","B",2
"Dreissena.polymorpha","#B675E0","B",2
"Myriophyllum.spicatum","#B675E0","B",2
"Ruppia.cirrhosa","#B675E0","B",2
"Chaetomorpha.linum","#B675E0","B",2
"Stuckenia.pectinata","#B675E0","B",2
"Potamogeton.perfoliatus","#AA9000","A",1
"Vaucheria","#AA9000","A",1
"Chara.aspera","#AA9000","A",1
"Zannichellia.palustris","#AA9000","A",1
"Fontinalis.antipyretica","#AA9000","A",1
"Aegagropila.linnaei","#AA9000","A",1
"Corophium.volutator","#AA9000","A",1
"Nitella.flexilis","#AA9000","A",1
"Cyanophthalma.obscura","#AA9000","A",1
"Gammarus.zaddachi","#AA9000","A",1
"Monoporeia.affinis","#AA9000","A",1
"Mysis.relicta","#AA9000","A",1
"Fontinalis.dalecarlica","#AA9000","A",1
"Fissidens.fontanus","#AA9000","A",1
"Ulothrix.zonata","#AA9000","A",1
"Potamogeton.praelongus","#AA9000","A",1
"Stuckenia.vaginata","#AA9000","A",1
"Nitellopsis.obtusa","#AA9000","A",1
"Batrachospermum","#AA9000","A",1
"Hippuris.tetraphylla","#AA9000","A",1
