"species","colour","cluster","cluster_int","cluster_name"
"Zygnema","#00AA5A","E",5,"Zone1_E"
"Crassula.aquatica","#00AA5A","E",5,"Zone1_E"
"Persicaria.foliosa","#00AA5A","E",5,"Zone1_E"
"Elodea.canadensis","#00AA5A","E",5,"Zone1_E"
"Elodea.nuttallii","#00AA5A","E",5,"Zone1_E"
"Equisetum.fluviatile","#00AA5A","E",5,"Zone1_E"
"Potamogeton.friesii","#00AA5A","E",5,"Zone1_E"
"Sagittaria.natans","#00AA5A","E",5,"Zone1_E"
"Chara.braunii","#00AA5A","E",5,"Zone1_E"
"Nitella.wahlbergiana","#00AA5A","E",5,"Zone1_E"
"Potamogeton.gramineus","#00A6CA","D",4,"Zone1_D"
"Callitriche.hermaphroditica","#00A6CA","D",4,"Zone1_D"
"Myriophyllum.alterniflorum","#00A6CA","D",4,"Zone1_D"
"Eleocharis.uniglumis","#00A6CA","D",4,"Zone1_D"
"Limosella.aquatica","#00A6CA","D",4,"Zone1_D"
"Potamogeton.pusillus","#00A6CA","D",4,"Zone1_D"
"Eleocharis.acicularis","#00A6CA","D",4,"Zone1_D"
"Subularia.aquatica","#00A6CA","D",4,"Zone1_D"
"Callitriche.palustris","#00A6CA","D",4,"Zone1_D"
"Potamogeton.berchtoldii","#00A6CA","D",4,"Zone1_D"
"Ranunculus.reptans","#00A6CA","D",4,"Zone1_D"
"Caltha.palustris","#00A6CA","D",4,"Zone1_D"
"Elatine.hydropiper","#00A6CA","D",4,"Zone1_D"
"Fontinalis.hypnoides","#00A6CA","D",4,"Zone1_D"
"Eleocharis.mamillata","#00A6CA","D",4,"Zone1_D"
"Cicuta.virosa","#00A6CA","D",4,"Zone1_D"
"Alisma.wahlenbergii","#00A6CA","D",4,"Zone1_D"
"Eleocharis.parvula","#00A6CA","D",4,"Zone1_D"
"Lemna.trisulca","#00A6CA","D",4,"Zone1_D"
"Myriophyllum.sibiricum","#00A6CA","D",4,"Zone1_D"
"Hippuris.vulgaris","#00A6CA","D",4,"Zone1_D"
"Schoenoplectus.tabernaemontani","#00A6CA","D",4,"Zone1_D"
"Eleocharis.palustris","#00A6CA","D",4,"Zone1_D"
"Ranunculus.peltatus.peltatus","#00A6CA","D",4,"Zone1_D"
"Chara.virgata","#00A6CA","D",4,"Zone1_D"
"Triglochin.maritima","#00A6CA","D",4,"Zone1_D"
"Potamogeton.obtusifolius","#00A6CA","D",4,"Zone1_D"
"Utricularia.vulgaris","#00A6CA","D",4,"Zone1_D"
"Sagittaria.sagittifolia","#E16A86","C",3,"Zone1_C"
"Sparganium.emersum","#E16A86","C",3,"Zone1_C"
"Schoenoplectus.lacustris","#E16A86","C",3,"Zone1_C"
"Potamogeton.natans","#E16A86","C",3,"Zone1_C"
"Nuphar.lutea","#E16A86","C",3,"Zone1_C"
"Nymphaea.alba","#E16A86","C",3,"Zone1_C"
"Myriophyllum.verticillatum","#E16A86","C",3,"Zone1_C"
"Typha.latifolia","#E16A86","C",3,"Zone1_C"
"Butomus.umbellatus","#E16A86","C",3,"Zone1_C"
"Potamogeton.crispus","#E16A86","C",3,"Zone1_C"
"Najas.marina","#E16A86","C",3,"Zone1_C"
"Typha.angustifolia","#E16A86","C",3,"Zone1_C"
"Ceratophyllum.demersum","#E16A86","C",3,"Zone1_C"
"Phragmites.australis","#E16A86","C",3,"Zone1_C"
"Chara.connivens","#B675E0","B",2,"Zone1_B"
"Rhizoclonium.riparium","#B675E0","B",2,"Zone1_B"
"Dreissena.polymorpha","#B675E0","B",2,"Zone1_B"
"Myriophyllum.spicatum","#B675E0","B",2,"Zone1_B"
"Ruppia.cirrhosa","#B675E0","B",2,"Zone1_B"
"Chaetomorpha.linum","#B675E0","B",2,"Zone1_B"
"Stuckenia.pectinata","#B675E0","B",2,"Zone1_B"
"Potamogeton.perfoliatus","#AA9000","A",1,"Zone1_A"
"Vaucheria","#AA9000","A",1,"Zone1_A"
"Chara.aspera","#AA9000","A",1,"Zone1_A"
"Zannichellia.palustris","#AA9000","A",1,"Zone1_A"
"Fontinalis.antipyretica","#AA9000","A",1,"Zone1_A"
"Aegagropila.linnaei","#AA9000","A",1,"Zone1_A"
"Corophium.volutator","#AA9000","A",1,"Zone1_A"
"Nitella.flexilis","#AA9000","A",1,"Zone1_A"
"Cyanophthalma.obscura","#AA9000","A",1,"Zone1_A"
"Gammarus.zaddachi","#AA9000","A",1,"Zone1_A"
"Monoporeia.affinis","#AA9000","A",1,"Zone1_A"
"Mysis.relicta","#AA9000","A",1,"Zone1_A"
"Fontinalis.dalecarlica","#AA9000","A",1,"Zone1_A"
"Fissidens.fontanus","#AA9000","A",1,"Zone1_A"
"Ulothrix.zonata","#AA9000","A",1,"Zone1_A"
"Potamogeton.praelongus","#AA9000","A",1,"Zone1_A"
"Stuckenia.vaginata","#AA9000","A",1,"Zone1_A"
"Nitellopsis.obtusa","#AA9000","A",1,"Zone1_A"
"Batrachospermum","#AA9000","A",1,"Zone1_A"
"Hippuris.tetraphylla","#AA9000","A",1,"Zone1_A"
"Ecrobia.ventrosa","#00A6CA","E",5,"Zone2_E"
"Gammarus.oceanicus","#00A6CA","E",5,"Zone2_E"
"Theodoxus.fluviatilis","#00A6CA","E",5,"Zone2_E"
"Peringia.ulvae","#00A6CA","E",5,"Zone2_E"
"Amphibalanus.improvisus","#00A6CA","E",5,"Zone2_E"
"Mya.arenaria","#00A6CA","E",5,"Zone2_E"
"Cerastoderma.glaucum","#00A6CA","E",5,"Zone2_E"
"Hediste.diversicolor","#00A6CA","E",5,"Zone2_E"
"Battersia.arctica","#00A6CA","E",5,"Zone2_E"
"Corophium.volutator","#00A6CA","E",5,"Zone2_E"
"Gammarus.zaddachi","#00A6CA","E",5,"Zone2_E"
"Gammarus.salinus","#00A6CA","E",5,"Zone2_E"
"Jaera.albifrons","#00A6CA","E",5,"Zone2_E"
"Bathyporeia.pilosa","#00A6CA","E",5,"Zone2_E"
"Cyanophthalma.obscura","#00A6CA","E",5,"Zone2_E"
"Einhornia.crustulenta","#00A6CA","E",5,"Zone2_E"
"Cladophora.rupestris","#00A6CA","E",5,"Zone2_E"
"Neomysis.integer","#00A6CA","E",5,"Zone2_E"
"Coccotylus.Phyllophora","#00A6CA","E",5,"Zone2_E"
"Pygospio.elegans","#00A6CA","E",5,"Zone2_E"
"Vertebrata.fucoides","#00A6CA","E",5,"Zone2_E"
"Ceramium.tenuicorne","#00A6CA","E",5,"Zone2_E"
"Ectocarpus.Pylaiella","#00A6CA","E",5,"Zone2_E"
"Furcellaria.lumbricalis","#00A6CA","E",5,"Zone2_E"
"Gaillona.rosea","#00A6CA","E",5,"Zone2_E"
"Rhodochorton.purpureum","#00A6CA","E",5,"Zone2_E"
"Eudesme.virescens","#00A6CA","E",5,"Zone2_E"
"Mytilus","#00A6CA","E",5,"Zone2_E"
"Pontoporeia.femorata","#B675E0","D",4,"Zone2_D"
"Monoporeia.affinis","#B675E0","D",4,"Zone2_D"
"Saduria.entomon","#B675E0","D",4,"Zone2_D"
"Mysis.mixta","#B675E0","D",4,"Zone2_D"
