"scientific_name","Zone1_A","Zone1_B","Zone1_C","Zone1_D","Zone1_E","Zone2_A","Zone2_B","Zone2_C","Zone2_D","Zone2_E","Zone3_A","Zone3_B","Zone3_C","Zone3_D","Zone3_E","Zone3_F","Zone4_A","Zone4_B","Zone4_C","Zone4_D","Zone4_E","Zone4_F","Zone4_G","Zone4_H","Zone4_I","Zone4_J","Zone4_K"
"Abramis.brama",43.62,88.66,99.97,78.13,98.7,97.61,92.59,58.56,0.53,13.55,53.56,19.02,0,10.91,0.02,0,0,0,0,5.86,0,0,0,0,0.1,0,0
"Agonus.cataphractus",0,0.15,0,0,0,0,0,5.87,4.78,13.77,6.18,1.07,90.85,15.67,4.13,80.44,97.46,97.22,31.73,69.86,100,85.39,99.66,95.73,92.87,53.97,79.8
"Alburnus.alburnus",36.44,91.65,98.94,84.43,98.99,96.56,98.97,79.75,0.12,13.32,81.37,19.02,0,10.76,0,0,0,0,0,8.87,0,0,0,0,0.01,0,0
"Alosa.fallax",3.15,17.51,0.95,0,0,0,0.58,8.17,19.49,5.72,7.77,4.67,0,10.71,21.5,25.78,0,29.17,0,4.36,1.58,16.9,0.02,4.01,0.97,23.74,13.06
"Amblyraja.radiata",0.05,0.08,0,0,0,0,0,0.13,0.49,0.09,0.09,0.18,0.67,0.08,0.51,17.54,0.71,100,0,0.54,6.79,16.87,17.9,51.06,18.4,100,91.47
"Ammodytes.marinus",0.67,3.05,0.03,0.12,0.02,0.01,0.18,18.82,7.77,35.96,23.55,27.07,92.8,33.38,4.6,78.13,100,100,80.44,80.88,100,85.82,99.99,100,96.58,99.99,99.97
"Aphia.minuta",0,0,0,0,0,0,0,0.28,3.87,2.71,0.15,0,12.07,4.1,3.88,79.51,0,97.22,0,3.34,92.05,85.28,11.6,62.2,34.04,99.92,89.15
"Arnoglossus.laterna",0,0.01,0,0,0,0,0,0.3,0.02,0.2,0.45,0.02,33.62,1.48,0.19,56.31,36.81,100,5.72,13.96,81.82,69.32,91,91.41,57.08,100,99.95
"Belone.belone",0.96,17.59,0.14,0,0,0,0.49,33.49,27.93,57.65,46.11,38.8,99.81,58.79,23.36,96.12,100,100,99.26,95.41,100,97.84,100,100,99.96,98.66,99.03
"Blicca.bjoerkna",24.5,92.18,90.69,14.74,0.21,55.84,78.05,64.85,0.5,13.32,65.9,17.9,0,11.03,0.03,0,0,0,0,6.01,0,0,0,0,0,0,0
