"habitat_name","species"
"Zone1_D","Potamogeton.perfoliatus"
"Zone1_D","Vaucheria"
"Zone1_D","Chara.aspera"
"Zone1_D","Zannichellia.palustris"
"Zone1_D","Fontinalis.antipyretica"
"Zone1_D","Aegagropila.linnaei"
"Zone1_D","Corophium.volutator"
"Zone1_D","Nitella.flexilis"
"Zone1_D","Cyanophthalma.obscura"
"Zone1_D","Gammarus.zaddachi"
"Zone1_D","Ruppia.cirrhosa"
"Zone1_D","Chaetomorpha.linum"
"Zone1_D","Stuckenia.pectinata"
"Zone1_D","Chara.connivens"
"Zone1_D","Myriophyllum.spicatum"
"Zone1_D","Ceratophyllum.demersum"
"Zone1_D","Phragmites.australis"
"Zone1_D","Monoporeia.affinis"
"Zone1_D","Mysis.relicta"
"Zone1_D","Fontinalis.dalecarlica"
"Zone1_D","Fissidens.fontanus"
"Zone1_D","Ulothrix.zonata"
"Zone1_D","Butomus.umbellatus"
"Zone1_D","Potamogeton.crispus"
"Zone1_D","Potamogeton.praelongus"
"Zone1_D","Stuckenia.vaginata"
"Zone1_D","Hippuris.tetraphylla"
"Zone1_D","Batrachospermum"
"Zone1_D","Dreissena.polymorpha"
"Zone1_C","Lemna.trisulca"
"Zone1_C","Myriophyllum.sibiricum"
"Zone1_C","Hippuris.vulgaris"
"Zone1_C","Schoenoplectus.tabernaemontani"
"Zone1_C","Eleocharis.palustris"
"Zone1_C","Ranunculus.peltatus.peltatus"
"Zone1_C","Chara.virgata"
"Zone1_C","Triglochin.maritima"
"Zone1_C","Potamogeton.obtusifolius"
"Zone1_C","Utricularia.vulgaris"
"Zone1_C","Nitellopsis.obtusa"
"Zone1_C","Najas.marina"
"Zone1_C","Typha.angustifolia"
"Zone1_C","Sagittaria.sagittifolia"
"Zone1_C","Sparganium.emersum"
"Zone1_C","Schoenoplectus.lacustris"
"Zone1_C","Potamogeton.natans"
"Zone1_C","Nuphar.lutea"
"Zone1_C","Nymphaea.alba"
"Zone1_C","Myriophyllum.verticillatum"
"Zone1_C","Typha.latifolia"
"Zone1_B","Zygnema"
"Zone1_B","Crassula.aquatica"
"Zone1_B","Persicaria.foliosa"
"Zone1_B","Elodea.canadensis"
"Zone1_B","Elodea.nuttallii"
"Zone1_B","Equisetum.fluviatile"
"Zone1_B","Potamogeton.friesii"
"Zone1_B","Sagittaria.natans"
"Zone1_B","Chara.braunii"
"Zone1_B","Nitella.wahlbergiana"
"Zone1_A","Potamogeton.gramineus"
"Zone1_A","Callitriche.hermaphroditica"
"Zone1_A","Myriophyllum.alterniflorum"
"Zone1_A","Eleocharis.uniglumis"
"Zone1_A","Limosella.aquatica"
"Zone1_A","Potamogeton.pusillus"
"Zone1_A","Eleocharis.acicularis"
"Zone1_A","Subularia.aquatica"
"Zone1_A","Callitriche.palustris"
"Zone1_A","Potamogeton.berchtoldii"
"Zone1_A","Ranunculus.reptans"
"Zone1_A","Caltha.palustris"
"Zone1_A","Elatine.hydropiper"
"Zone1_A","Fontinalis.hypnoides"
"Zone1_A","Eleocharis.mamillata"
"Zone1_A","Cicuta.virosa"
"Zone1_A","Alisma.wahlenbergii"
"Zone1_A","Eleocharis.parvula"
"Zone2_E","Corophium.volutator"
"Zone2_E","Gammarus.zaddachi"
"Zone2_E","Gammarus.salinus"
"Zone2_E","Jaera.albifrons"
"Zone2_E","Bathyporeia.pilosa"
"Zone2_E","Cyanophthalma.obscura"
"Zone2_E","Ecrobia.ventrosa"
"Zone2_E","Gammarus.oceanicus"
"Zone2_E","Theodoxus.fluviatilis"
"Zone2_E","Peringia.ulvae"
"Zone2_E","Mya.arenaria"
"Zone2_E","Cerastoderma.glaucum"
"Zone2_E","Hediste.diversicolor"
"Zone2_E","Neomysis.integer"
"Zone2_E","Pygospio.elegans"
"Zone2_E","Einhornia.crustulenta"
"Zone2_E","Rhodomela.confervoides"
"Zone2_E","Eudesme.virescens"
"Zone2_E","Mytilus"
"Zone2_E","Battersia.arctica"
"Zone2_E","Rhodochorton.purpureum"
"Zone2_E","Coccotylus.Phyllophora"
