"cluster_1","cluster_2","n_species_1","n_species_2","n_shared","pct_of_cluster_1","pct_of_cluster_2","total_pct"
"Zone2_D","Zone3_F",9,10,7,77.8,70,58.3
"Zone2_E","Zone3_D",29,24,19,65.5,79.2,55.9
"Zone2_C","Zone3_B",23,19,11,47.8,57.9,35.5
"Zone1_C","Zone2_A",21,31,13,61.9,41.9,33.3
"Zone3_G","Zone4_D",23,29,11,47.8,37.9,26.8
"Zone2_E","Zone3_E",29,14,9,31,64.3,26.5
"Zone3_G","Zone4_E",23,22,8,34.8,36.4,21.6
"Zone1_D","Zone2_C",29,23,9,31,39.1,20.9
"Zone3_A","Zone4_H",31,16,8,25.8,50,20.5
"Zone3_A","Zone4_A",31,26,9,29,34.6,18.8
"Zone1_C","Zone2_B",21,11,5,23.8,45.5,18.5
"Zone3_C","Zone4_G",16,17,5,31.2,29.4,17.9
"Zone3_D","Zone4_G",24,17,6,25,35.3,17.1
"Zone3_C","Zone4_I",16,39,8,50,20.5,17
"Zone3_H","Zone4_D",9,29,5,55.6,17.2,15.2
"Zone1_D","Zone2_A",29,31,7,24.1,22.6,13.2
"Zone2_E","Zone4_G",29,17,5,17.2,29.4,12.2
"Zone1_D","Zone3_B",29,19,5,17.2,26.3,11.6
"Zone1_A","Zone2_A",18,31,5,27.8,16.1,11.4
"Zone2_C","Zone4_H",23,16,4,17.4,25,11.4
"Zone3_E","Zone4_H",14,16,3,21.4,18.8,11.1
"Zone3_H","Zone4_E",9,22,3,33.3,13.6,10.7
"Zone3_C","Zone4_F",16,15,3,18.8,20,10.7
"Zone2_C","Zone3_A",23,31,5,21.7,16.1,10.2
"Zone3_B","Zone4_H",19,16,3,15.8,18.8,9.4
"Zone2_A","Zone3_B",31,19,4,12.9,21.1,8.7
"Zone3_D","Zone4_I",24,39,5,20.8,12.8,8.6
"Zone1_D","Zone2_B",29,11,3,10.3,27.3,8.1
"Zone1_C","Zone3_B",21,19,3,14.3,15.8,8.1
"Zone2_B","Zone3_B",11,19,2,18.2,10.5,7.1
"Zone3_B","Zone4_A",19,26,3,15.8,11.5,7.1
"Zone1_D","Zone2_D",29,9,2,6.9,22.2,5.6
"Zone2_C","Zone4_F",23,15,2,8.7,13.3,5.6
"Zone2_A","Zone4_A",31,26,3,9.7,11.5,5.6
"Zone1_D","Zone2_E",29,29,3,10.3,10.3,5.5
"Zone1_B","Zone2_A",10,31,2,20,6.5,5.1
"Zone2_A","Zone3_A",31,31,3,9.7,9.7,5.1
"Zone1_D","Zone3_E",29,14,2,6.9,14.3,4.9
"Zone3_G","Zone4_K",23,42,3,13,7.1,4.8
"Zone1_D","Zone4_H",29,16,2,6.9,12.5,4.7
