"species","colour","cluster","cluster_int"
"Pholoe.assimilis","#00A846","H",8
"Malacobdella.grossa","#00A846","H",8
"Nereimyra.punctata","#00A846","H",8
"Pherusa.plumosa","#00A846","H",8
"Corbula.gibba","#00A846","H",8
"Ophiura.albida","#00A846","H",8
"Abra.alba","#00A846","H",8
"Levinsenia.gracilis","#00A846","H",8
"Nephtys.ciliata","#00A846","H",8
"Arctica.islandica","#9183E6","G",7
"Trochochaeta.multisetosa","#9183E6","G",7
"Asterias.rubens","#9183E6","G",7
"Phyllodoce.mucosa","#9183E6","G",7
"Dipolydora.quadrilobata","#9183E6","G",7
"Gastrosaccus.spinifer","#9183E6","G",7
"Parvicardium.pinnulatum","#9183E6","G",7
"Harmothoe.imbricata","#9183E6","G",7
"Kurtiella.bidentata","#9183E6","G",7
"Mya.truncata","#9183E6","G",7
"Lineus.ruber","#9183E6","G",7
"Crassicorophium.crassicor","#9183E6","G",7
"Nephtys.caeca","#9183E6","G",7
"Aricidea.minuta","#9183E6","G",7
"Spio.goniocephala","#9183E6","G",7
"Astarte.borealis","#9183E6","G",7
"Astarte.elliptica","#9183E6","G",7
"Priapulus.caudatus","#9183E6","G",7
"Terebellides.stroemii","#9183E6","G",7
"Gammarus.tigrinus","#9183E6","G",7
"Aricidea.suecica","#9183E6","G",7
"Ampharete.baltica","#9183E6","G",7
"Scoloplos.armiger","#9183E6","G",7
"Micrura.baltica","#00A2D3","F",6
"Monoporeia.affinis","#00A2D3","F",6
"Saduria.entomon","#00A2D3","F",6
"Marenzelleria","#00A2D3","F",6
"Limecola.balthica","#00A2D3","F",6
"Pygospio.elegans","#00A2D3","F",6
"Pontoporeia.femorata","#00A2D3","F",6
"Diastylis.rathkei","#00A2D3","F",6
"Bylgides.sarsi","#00A2D3","F",6
"Halicryptus.spinulosus","#00A2D3","F",6
"Peringia.ulvae","#909800","E",5
"Mya.arenaria","#909800","E",5
"Cerastoderma.glaucum","#909800","E",5
"Hediste.diversicolor","#909800","E",5
"Gammarus.zaddachi","#909800","E",5
"Corophium.volutator","#909800","E",5
"Bathyporeia.pilosa","#909800","E",5
"Gammarus.salinus","#909800","E",5
"Jaera.albifrons","#909800","E",5
"Baltidrilus.costatus","#909800","E",5
"Alitta.succinea","#909800","E",5
"Tubificoides.benedii","#909800","E",5
"Fabricia.stellaris","#909800","E",5
"Streblospio.shrubsolii","#909800","E",5
"Dictyosiphon.foeniculaceus","#E16A86","D",4
"Gammarus.oceanicus","#E16A86","D",4
"Theodoxus.fluviatilis","#E16A86","D",4
"Cyanophthalma.obscura","#E16A86","D",4
"Neomysis.integer","#E16A86","D",4
"Ectocarpus.Pylaiella","#E16A86","D",4
"Ecrobia.ventrosa","#E16A86","D",4
"Eudesme.virescens","#E16A86","D",4
"Battersia.arctica","#E16A86","D",4
"Gaillona.rosea","#E16A86","D",4
"Rhodochorton.purpureum","#E16A86","D",4
"Cladophora.rupestris","#E16A86","D",4
"Elachista.fucicola","#E16A86","D",4
"Ceramium.diaphanum","#E16A86","D",4
"Aglaothamnion.tenuissimum","#E16A86","D",4
"Desmarestia.viridis","#E16A86","D",4
"Furcellaria.lumbricalis","#E16A86","D",4
"Ceramium.tenuicorne","#E16A86","D",4
"Vertebrata.fucoides","#E16A86","D",4
"Einhornia.crustulenta","#E16A86","D",4
"Rhodomela.confervoides","#E16A86","D",4
"Amphibalanus.improvisus","#E16A86","D",4
"Coccotylus.Phyllophora","#E16A86","D",4
"Mytilus","#E16A86","D",4
"Ceramium.virgatum","#D766C9","C",3
"Spermothamnion.repens","#D766C9","C",3
"Delesseria.sanguinea","#D766C9","C",3
"Ahnfeltia.plicata","#D766C9","C",3
"Bryopsis.hypnoides","#D766C9","C",3
"Chaetomorpha.melagonium","#D766C9","C",3
"Membranoptera.alata","#D766C9","C",3
"Polyides.rotunda","#D766C9","C",3
"Dumontia.contorta","#D766C9","C",3
"Callithamnion.corymbosum","#D766C9","C",3
"Polysiphonia.stricta","#D766C9","C",3
"Dictyosiphon.chordaria","#D766C9","C",3
"Scytosiphon.lomentaria","#D766C9","C",3
"Mesogloia.vermiculata","#D766C9","C",3
"Polysiphonia.elongata","#D766C9","C",3
"Sphaerotrichia.divaricata","#D766C9","C",3
"Ranunculus.peltatus.peltatus","#00AD9A","B",2
"Ceratophyllum.demersum","#00AD9A","B",2
"Monostroma.balticum","#00AD9A","B",2
"Chara.horrida","#00AD9A","B",2
"Schoenoplectus.lacustris","#00AD9A","B",2
"Chara.canescens","#00AD9A","B",2
"Ruppia.maritima","#00AD9A","B",2
"Ruppia.cirrhosa","#00AD9A","B",2
"Zannichellia.palustris","#00AD9A","B",2
"Myriophyllum.spicatum","#00AD9A","B",2
"Chara.baltica","#00AD9A","B",2
"Stuckenia.pectinata","#00AD9A","B",2
"Bolboschoenus.maritimus","#00AD9A","B",2
"Lemna.minor","#00AD9A","B",2
"Juncus.gerardii","#00AD9A","B",2
"Triglochin.maritima","#00AD9A","B",2
"Zannichellia.major","#00AD9A","B",2
"Chorda.filum","#00AD9A","B",2
"Fucus.vesiculosus.radicans","#00AD9A","B",2
"Capitella.capitata","#C7821C","A",1
"Heteromastus.filiformis","#C7821C","A",1
"Arenicola.marina","#C7821C","A",1
"Eteone.longa","#C7821C","A",1
"Cerastoderma.edule","#C7821C","A",1
"Ophelia.rathkei","#C7821C","A",1
"Cladophora.sericea","#C7821C","A",1
"Chaetomorpha.linum","#C7821C","A",1
"Zostera.marina","#C7821C","A",1
