"species","colour","cluster","cluster_int","cluster_name"
"Potamogeton.perfoliatus","#E16A86","D",4,"Zone1_D"
"Vaucheria","#E16A86","D",4,"Zone1_D"
"Chara.aspera","#E16A86","D",4,"Zone1_D"
"Zannichellia.palustris","#E16A86","D",4,"Zone1_D"
"Fontinalis.antipyretica","#E16A86","D",4,"Zone1_D"
"Aegagropila.linnaei","#E16A86","D",4,"Zone1_D"
"Corophium.volutator","#E16A86","D",4,"Zone1_D"
"Nitella.flexilis","#E16A86","D",4,"Zone1_D"
"Cyanophthalma.obscura","#E16A86","D",4,"Zone1_D"
"Gammarus.zaddachi","#E16A86","D",4,"Zone1_D"
"Ruppia.cirrhosa","#E16A86","D",4,"Zone1_D"
"Chaetomorpha.linum","#E16A86","D",4,"Zone1_D"
"Stuckenia.pectinata","#E16A86","D",4,"Zone1_D"
"Chara.connivens","#E16A86","D",4,"Zone1_D"
"Myriophyllum.spicatum","#E16A86","D",4,"Zone1_D"
"Ceratophyllum.demersum","#E16A86","D",4,"Zone1_D"
"Phragmites.australis","#E16A86","D",4,"Zone1_D"
"Monoporeia.affinis","#E16A86","D",4,"Zone1_D"
"Mysis.relicta","#E16A86","D",4,"Zone1_D"
"Fontinalis.dalecarlica","#E16A86","D",4,"Zone1_D"
"Fissidens.fontanus","#E16A86","D",4,"Zone1_D"
"Ulothrix.zonata","#E16A86","D",4,"Zone1_D"
"Butomus.umbellatus","#E16A86","D",4,"Zone1_D"
"Potamogeton.crispus","#E16A86","D",4,"Zone1_D"
"Potamogeton.praelongus","#E16A86","D",4,"Zone1_D"
"Stuckenia.vaginata","#E16A86","D",4,"Zone1_D"
"Hippuris.tetraphylla","#E16A86","D",4,"Zone1_D"
"Batrachospermum","#E16A86","D",4,"Zone1_D"
"Dreissena.polymorpha","#E16A86","D",4,"Zone1_D"
"Lemna.trisulca","#00AD9A","C",3,"Zone1_C"
"Myriophyllum.sibiricum","#00AD9A","C",3,"Zone1_C"
"Hippuris.vulgaris","#00AD9A","C",3,"Zone1_C"
"Schoenoplectus.tabernaemontani","#00AD9A","C",3,"Zone1_C"
"Eleocharis.palustris","#00AD9A","C",3,"Zone1_C"
"Ranunculus.peltatus.peltatus","#00AD9A","C",3,"Zone1_C"
"Chara.virgata","#00AD9A","C",3,"Zone1_C"
"Triglochin.maritima","#00AD9A","C",3,"Zone1_C"
"Potamogeton.obtusifolius","#00AD9A","C",3,"Zone1_C"
"Utricularia.vulgaris","#00AD9A","C",3,"Zone1_C"
"Nitellopsis.obtusa","#00AD9A","C",3,"Zone1_C"
"Najas.marina","#00AD9A","C",3,"Zone1_C"
"Typha.angustifolia","#00AD9A","C",3,"Zone1_C"
"Sagittaria.sagittifolia","#00AD9A","C",3,"Zone1_C"
"Sparganium.emersum","#00AD9A","C",3,"Zone1_C"
"Schoenoplectus.lacustris","#00AD9A","C",3,"Zone1_C"
"Potamogeton.natans","#00AD9A","C",3,"Zone1_C"
"Nuphar.lutea","#00AD9A","C",3,"Zone1_C"
"Nymphaea.alba","#00AD9A","C",3,"Zone1_C"
"Myriophyllum.verticillatum","#00AD9A","C",3,"Zone1_C"
"Typha.latifolia","#00AD9A","C",3,"Zone1_C"
"Zygnema","#9183E6","B",2,"Zone1_B"
