"scientific_name","zone_sum","presence_sum","zone_prop"
"Aegagropila.linnaei",48222,99009,0.48705
"Ascophyllum.nodosum",1,4558,0.00022
"Battersia.arctica",355829,516575,0.68882
"Bolboschoenus.maritimus",22118,53194,0.4158
"Butomus.umbellatus",1631,6346,0.25701
"Callitriche.hermaphroditica",7592,31983,0.23738
"Callitriche.palustris",25,10889,0.0023
"Caltha.palustris",909,16326,0.05568
"Ceramium.diaphanum",2907,115582,0.02515
"Ceramium.tenuicorne",272211,490613,0.55484
"Ceramium.virgatum",166,180237,0.00092
"Ceratophyllum.demersum",44423,66800,0.66501
"Chaetomorpha.linum",46542,367933,0.1265
"Chara.aspera",39429,95198,0.41418
"Chara.baltica",46686,105387,0.443
"Chara.canescens",55215,91050,0.60643
"Chara.connivens",33849,53663,0.63077
"Chara.horrida",262,4099,0.06392
"Chara.tomentosa",34867,39064,0.89256
"Chara.virgata",1420,10078,0.1409
"Chorda.filum",65377,216166,0.30244
"Cicuta.virosa",437,6490,0.06733
"Cladophora.rupestris",125617,247818,0.50689
"Cladophora.sericea",3603,219244,0.01643
"Coccotylus.Phyllophora",155701,670082,0.23236
"Crassula.aquatica",61,2339,0.02608
"Dictyosiphon.chordaria",849,28492,0.0298
"Dictyosiphon.foeniculaceus",80913,191369,0.42281
"Ectocarpus.Pylaiella",304397,624947,0.48708
"Elachista.fucicola",38313,201290,0.19034
"Elatine.hydropiper",128,14247,0.00898
"Eleocharis.acicularis",1403,32148,0.04364
"Eleocharis.mamillata",112,3122,0.03587
"Eleocharis.palustris",3397,11714,0.28999
"Eleocharis.parvula",2530,12587,0.201
"Eleocharis.uniglumis",5126,36250,0.14141
"Elodea.canadensis",320,11048,0.02896
"Equisetum.fluviatile",1234,10144,0.12165
"Eudesme.virescens",125054,214868,0.582
"Fontinalis.antipyretica",10077,96973,0.10392
"Fontinalis.dalecarlica",17411,23220,0.74983
"Fontinalis.hypnoides",247,4555,0.05423
"Fucus.serratus",58,86123,0.00067
"Fucus.vesiculosus.radicans",99371,156908,0.63331
"Furcellaria.lumbricalis",207043,508681,0.40702
"Gaillona.rosea",150073,239393,0.62689
"Halosiphon.tomentosus",261,17813,0.01465
"Hippuris.tetraphylla",18,144,0.125
"Hippuris.vulgaris",28127,39147,0.7185
"Juncus.gerardii",5069,31222,0.16235
"Leathesia.marina",9157,150546,0.06083
"Lemna.minor",7797,37666,0.207
"Lemna.trisulca",20271,36880,0.54965
"Limosella.aquatica",1346,19350,0.06956
"Monostroma.balticum",5009,27287,0.18357
"Myriophyllum.alterniflorum",6098,27700,0.22014
"Myriophyllum.sibiricum",13699,28847,0.47488
"Myriophyllum.spicatum",86768,158014,0.54912
"Myriophyllum.verticillatum",4986,15174,0.32859
"Najas.marina",34527,42025,0.82158
"Nitella.flexilis",2931,160671,0.01824
"Nitellopsis.obtusa",189,619,0.30533
"Nuphar.lutea",2573,7918,0.32496
"Nymphaea.alba",5809,12589,0.46143
"Phragmites.australis",43806,81466,0.53772
"Polyides.rotunda",1375,216127,0.00636
"Potamogeton.berchtoldii",2495,20353,0.12259
"Potamogeton.crispus",1245,7443,0.16727
"Potamogeton.friesii",44,7942,0.00554
"Potamogeton.natans",2622,9479,0.27661
"Potamogeton.obtusifolius",3312,6959,0.47593
"Potamogeton.perfoliatus",86647,176529,0.49084
"Potamogeton.praelongus",6,3188,0.00188
"Potamogeton.pusillus",2945,31715,0.09286
"Ranunculus.aquatilis",18734,20090,0.9325
"Ranunculus.peltatus.peltatus",26960,39584,0.68108
"Ranunculus.reptans",200,10050,0.0199
"Rhizoclonium.riparium",14125,16763,0.84263
"Rhodochorton.purpureum",159447,275786,0.57815
"Rhodomela.confervoides",63765,435929,0.14627
"Ruppia.cirrhosa",26088,192558,0.13548
"Ruppia.maritima",36759,111555,0.32951
"Saccharina.latissima",3,142911,2e-05
"Sagittaria.natans",3,908,0.0033
"Sagittaria.sagittifolia",468,2660,0.17594
"Schoenoplectus.lacustris",4186,14696,0.28484
"Schoenoplectus.tabernaemontani",45540,75612,0.60229
"Scytosiphon.lomentaria",22,62724,0.00035
"Sparganium.emersum",424,1707,0.24839
"Spongomorpha.aeruginosa",1923,22259,0.08639
"Stictyosiphon.tortilis",23907,27998,0.85388
"Stuckenia.pectinata",166175,273051,0.60859
"Stuckenia.vaginata",355,1422,0.24965
"Subularia.aquatica",1351,24139,0.05597
"Triglochin.maritima",1947,37068,0.05253
"Typha.angustifolia",3766,7428,0.507
"Typha.latifolia",9021,15988,0.56424
"Ulothrix.zonata",30,15285,0.00196
"Ulva.lactuca",42,166265,0.00025
"Ulva.linza",442,6591,0.06706
"Ulva.prolifera",7577,15264,0.4964
"Urospora.penicilliformis",5878,6500,0.90431
"Utricularia.vulgaris",197,2608,0.07554
"Vaucheria",54857,113537,0.48316
"Vertebrata.fucoides",158488,495827,0.31964
"Zannichellia.major",70934,93638,0.75753
"Zannichellia.palustris",95160,272053,0.34978
"Zostera.marina",9055,204801,0.04421
"Zygnema",1784,2873,0.62095
"Abra.alba",1,189883,1e-05
"Abra.nitida",9,237448,4e-05
"Abyssoninoe.hibernica",42,159553,0.00026
"Alitta.succinea",11,182993,6e-05
"Ampelisca.macrocephala",155,106362,0.00146
"Ampharete.baltica",1,446694,0
"Amphibalanus.improvisus",274461,560464,0.4897
"Apherusa.bispinosa",6356,64342,0.09878
"Asterias.rubens",37,257439,0.00014
"Baltidrilus.costatus",328,63108,0.0052
"Bathyporeia.pilosa",468936,1281840,0.36583
"Bylgides.sarsi",334161,2798600,0.1194
"Cerastoderma.edule",27183,201817,0.13469
"Cerastoderma.glaucum",420048,1218874,0.34462
"Chaetozone.setosa",7,321772,2e-05
"Corbula.gibba",60,258087,0.00023
"Corophium.volutator",695133,1652484,0.42066
"Cyanophthalma.obscura",414413,735732,0.56327
"Diastylis.laevis",8,84634,9e-05
"Diastylis.rathkei",1398,1419963,0.00098
"Dreissena.polymorpha",12136,14454,0.83963
