"scientific_name","Zone1_A","Zone1_B","Zone1_C","Zone1_D","Zone2_A","Zone2_B","Zone2_C","Zone2_D","Zone2_E","Zone3_A","Zone3_B","Zone3_C","Zone3_D","Zone3_E","Zone3_F","Zone3_G","Zone3_H","Zone4_A","Zone4_B","Zone4_C","Zone4_D","Zone4_E","Zone4_F","Zone4_G","Zone4_H","Zone4_I","Zone4_J","Zone4_K"
"Abramis.brama",75.13,98.68,93.51,67.7,97.47,92.58,57.26,0.65,13.91,0.01,58.34,0,8.96,15.29,0.82,0,0,0,0,0,0,0,0.04,7.23,5.31,0,0,0
"Agonus.cataphractus",0,0,0,0.26,0,0,7.61,5.29,13.56,82.45,4.8,97.12,10.82,13.37,6.55,72.5,98.84,55.69,97.2,99.69,95.45,99.99,98.66,41.18,75.32,97.33,58.03,82.33
"Alburnus.alburnus",74.53,98.99,99.17,71.41,96.37,98.99,79.44,0.18,14,0.01,83.74,0,10.89,14.78,0.53,0,0,0,0,0,0,0,0.04,4.75,5.61,0,0,0
"Alosa.fallax",0,0,0,5.6,0,0.88,7.62,19.08,5.6,0.01,4.26,0,3.8,5.6,20.05,34.15,0.63,0,0,0.23,5.7,1.56,0,3.75,3.19,0.09,21.45,11.45
"Amblyraja.radiata",0,0,0,0.05,0,0,0.1,0.47,0.07,0.65,0.09,2.67,0.13,0.03,0.44,13.82,16.33,0,34.31,29.2,21.59,5.97,0.55,0.69,0.46,26.46,100,80.16
"Ammodytes.marinus",0.17,0.02,0.01,4.16,0.01,0.22,20.44,9.82,37.84,85.41,19.52,97.12,39.87,36.84,13.11,69.79,99.98,93.73,100,100,95.18,99.99,99.88,61.94,80.09,98.24,99.99,99.96
"Aphia.minuta",0,0,0,0,0,0,0.38,3.89,2.17,2.01,0.27,10.83,0.44,2.76,4.34,68.84,93.66,0,13.02,21.79,61.88,92.89,0,2.34,4.88,34.87,99.92,83.96
"Arnoglossus.laterna",0,0,0,0,0,0,0.55,0.06,0.22,6.66,0.45,33.27,0.91,0.28,0.54,48.56,99.62,9.8,97.61,93.6,75.88,80.32,14.96,9.72,10.99,56.22,100,99.92
"Belone.belone",0,0,0,11.89,0.01,0.6,34.85,29.74,58.37,99.55,36.37,99.99,55.3,58.1,32.73,87.18,100,100,100,100,100,100,99.9,65.73,96.35,100,98.85,99.16
"Blicca.bjoerkna",0.57,0.21,63.93,55.99,54.48,78.47,64.07,0.58,13.77,0,68.58,0,9.43,14.88,0.71,0,0,0,0,0,0,0,0.04,6.32,4.85,0,0,0
"Buglossidium.luteum",0,0,0,0,0,0,0.16,0.16,0.17,0.77,0.06,14.18,0.08,0.24,0.17,31.46,62.31,0,86.12,83.54,51.44,43.56,0.27,2.84,2.41,38.28,99.06,93.45
"Callionymus.lyra",0,0,0,0,0,0,0.85,0.01,0.36,11.47,0.68,48.99,2.05,0.13,0.4,48.03,98.38,28.63,99.84,100,78.45,77,38.25,18.13,14.55,66.46,100,99.97
"Callionymus.maculatus",0,0,0,0,0,0,0.02,0.01,0,0.16,0.04,4.74,0.05,0,0.03,25.34,60.85,1.96,42.2,37.24,37.53,44,0.68,0.69,0.24,31.89,99.99,88.26
"Carassius.carassius",1.46,1.55,41.78,38.61,32.92,56.77,53.24,0.05,6.91,0,59.27,0,3.11,7.25,0.23,0,0,0,0,0,0,0,0,0.28,4.89,0,0,0
"Chelidonichthys.lucerna",0,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0,16.48,31.63,0,17.11,32.89,25.78,4.45,0,0.01,0.02,20.65,98.6,80.25
"Ciliata.mustela",0,0,0,0,0,0,0.55,0.09,0.21,3.7,0.73,21.7,0.67,0.13,0.08,8.23,1.26,69.02,98.35,72.49,20.13,0,4.71,7.49,5.75,25.29,52.21,44.93
"Clupea.harengus",7.02,2.45,6.97,45.3,1.57,16.37,50.57,99.96,91.27,34.08,49.98,56.74,96.52,90.35,99.73,93.85,95.8,2.75,2.05,36.43,79.87,99.99,40.49,79.59,40.88,68.7,78.71,71.64
"Coregonus.albula",94.69,95.93,45.99,29.44,56.23,26.24,2.3,11.72,2.41,0,0.89,0,0.8,3.18,9.91,0,0,0,0,0,0,0,0,0.25,0,0,0,0
"Coregonus.maraena",85.51,62.3,25.03,41.52,30.53,18.23,17.26,11.44,15.75,0,13.31,0,20.33,16.4,10.49,0,0,0,0,0,0,0,0.1,14.58,0.06,0,0,0
"Cottus.gobio",7.12,0,0.86,8.43,0.27,1.93,6.86,3.52,9.84,0,4.33,0,14.88,9.08,3.41,0,0,0,0,0,0,0,0.02,13,0,0,0,0
"Ctenolabrus.rupestris",0,0,0,0,0,0,1.37,0,0.8,25.59,1.33,44.79,2.41,0.57,0,8.3,5.45,94.51,91.27,71.99,25.64,0.17,74.13,20.27,23.18,37,1.85,16.55
"Cyclopterus.lumpus",0,0,0,0,0,0,0,47.36,31.09,3.54,0,16.53,23.04,30.5,48.89,86.78,81.32,0,5.39,40.34,67.98,99.3,0,4.08,10.6,38.91,7.6,42.25
"Enchelyopus.cimbrius",0,0,0,0,0,0,0,16.21,0.04,0,0,0.01,0,0.15,17.42,44.35,23.76,0,4.66,1.27,17.5,20.28,0,0,0.02,5.93,90.29,53.28
"Engraulis.encrasicolus",0,0,0,0,0,0,0,13.65,11.01,0.51,0,12.14,3.46,12.15,15.22,86.68,93.34,0,37.81,46.44,70.33,97.15,0,1.2,6.84,40.98,99.03,92.21
"Entelurus.aequoreus",0,0,0,0,0,0,0.16,0,0.1,2.18,0.21,17.88,0.43,0.1,0,20.36,24.65,23.14,88.01,73.48,37.57,5.33,8.78,5.39,2.22,39.63,99.67,93.27
"Esox.lucius",77.87,92.77,78.33,41.92,79.81,71.81,42.57,0.1,7.16,3.22,49.83,0.11,2.83,7.55,0.3,0,0,0.78,0,0,0,0,0,0.12,6.18,0.03,0,0
"Gadus.morhua",0,0,0,0.28,0,0,9.12,46.66,43.79,90.65,6.88,99,38.36,42.5,49.63,99.98,100,86.67,100,100,99.98,100,99.84,47.51,83.28,99.52,100,100
"Gasterosteus.aculeatus",33.8,22.5,54.89,67.69,37.95,55.42,84.2,93.62,95.57,99.21,86.94,96.9,98.18,94.55,93.67,92.72,100,100,31.62,75.98,94.8,100,99.86,97.78,97.55,95.09,75.42,76.87
"Glyptocephalus.cynoglossus",0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,6.56,13.15,0,7.59,2.26,9.44,7.24,0,0,0,6.73,89.01,53.03
"Gymnocephalus.cernua",99.06,99.84,99.96,89.76,99.96,99.6,71.48,4.6,26.17,0.01,73.75,0,22.95,28.1,4.79,0,0,0,0,0,0,0,0.06,15.48,5.86,0,0,0
"Hippoglossoides.platessoides",0,0,0,0.02,0,0,0.3,0.35,0.16,5.11,0.22,29.33,0.88,0.13,0.7,46.52,95.73,15.29,90.34,76.39,68.69,73.92,17.28,8.96,5.71,53.36,100,99.96
"Hyperoplus.immaculatus",0,0,0,0,0,0,0,6.32,10.57,0.12,0,0.35,4.83,10.79,6.28,0.58,0,0,0,0,0.45,0.05,0,0.09,1.66,1.19,0,0
"Hyperoplus.lanceolatus",0,0,0,4.3,0,0,18.75,23.6,56.62,76.14,16.38,95.02,60.09,54.15,26.45,52.62,50.92,50.98,97.81,98.11,76.27,92.73,96.94,68.46,75.37,93.29,12.03,50.96
"Labrus.bergylta",0,0,0,0,0,0,0.64,0,0.45,13.41,0.46,28.81,1.46,0.17,0,5.48,9.93,36.86,71.35,28.88,14.75,1.97,50.45,12.86,12.2,24.31,1.83,10.16
"Lampetra.fluviatilis",57.22,40.36,78.93,82.51,65.35,80.62,82.23,93.45,82.79,2.9,84.9,0.76,84.77,82.92,90.03,18.17,1.1,0,0.02,0,1.87,1.11,0.12,55.51,14.16,0.49,16.28,4.47
"Lepidorhombus.whiffiagonis",0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,12.72,16.32,0,17.99,24.47,20.13,4.35,0,0.01,0,21.49,84.31,69.21
"Leuciscus.idus",47.02,48.13,46.55,37.39,41.79,44.8,46.17,0.12,8.2,0.18,53.38,0,6.51,8.27,0.35,0,0,0,0,0,0,0,0.02,1.17,1.08,0,0,0
"Leuciscus.leuciscus",85.31,86.3,23.88,20.25,44.57,11.86,2.35,0.59,2.25,0,0.89,0,1.69,2.6,0.53,0,0,0,0,0,0,0,0,1.07,0,0,0,0
"Limanda.limanda",0,0,0,0.39,0,0,9.81,8.3,15.62,94.71,7.48,98.95,11.88,15.74,9.84,90.89,100,98.43,100,100,100,100,99.79,42.23,85.14,99.48,100,99.99
"Liparis.liparis",0,0,0,0.07,0,0,0,41.34,2.81,0,0,0,1.84,2.35,37.45,0.57,0.84,0,0,0,0.68,0.22,0,0.28,0,0.05,8.03,3.5
"Lophius.piscatorius",10.01,35.35,1.53,1.87,5.25,0.5,0.04,0.53,0.04,0,0,0.6,0.01,0.16,0.49,3.62,0.02,0,31.29,21.41,7.87,0.01,0.02,0.05,0,15.15,92.12,60.86
"Lota.lota",92.15,76.21,35.37,44.78,39.7,25.98,21.93,5.43,13.33,0,16.4,0,19.04,13.75,5.19,0,0,0,0,0,0,0,0.06,21.84,1.37,0,0,0
"Lumpenus.lampretaeformis",0,0,0,0,0,0,0,15.45,0.15,0,0,1.67,0.12,0.12,14.74,29.89,77.12,0,20.51,19.12,39.62,59.99,0,0.04,0.06,23.8,99.45,80.38
"Maurolicus.muelleri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,7.25,0.58,0.28,0,0,0,0,1.51,87.77,39.06
"Melanogrammus.aeglefinus",0,0,0,0,0,0,0,1.94,0.06,0,0,2.59,0.01,0.18,1.93,40.85,58.15,0,40.39,34.75,39.1,32.62,0,0.07,0.16,27.59,100,87.14
"Merlangius.merlangus",0,0,0,0.3,0,0,7.26,10.11,9.75,80.88,5.88,87.14,7.65,9.97,12.04,98.24,100,96.86,100,100,99.91,100,77.91,36.02,72.43,91.59,100,100
"Micromesistius.poutassou",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.54
"Microstomus.kitt",0,0,0,0,0,0,0.37,0.03,0.02,1.59,0.27,24.41,0.48,0.01,0.21,38.59,84.6,2.75,99.06,98.77,64.45,49.04,5.4,6.91,4.88,48.2,100,99.44
"Mullus.surmuletus",0,0,0,0,0,0,0.04,0.73,1.49,6,0.02,29.03,1.76,1.67,1.65,58.51,95.36,0,61.32,50.91,73.2,99.07,26.82,9.39,6.79,53.8,99.99,94.39
"Myoxocephalus.quadricornis",1.52,0.14,0.59,13.35,0.07,1.06,2.02,53.92,25.92,0,0.81,0,29.94,25.05,49.21,0,0,0,0,0,0,0,0.04,22.78,0,0,0,0
"Myoxocephalus.scorpius",0,0,0,0.06,0,0,2.79,16.22,25.06,52.51,2.26,80.87,23.17,22.67,17.27,47.4,57.77,80.39,82.79,91.13,76.75,76.82,93.2,38.66,52.26,83.49,14.24,54.39
"Myxine.glutinosa",0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.04,0.44,0.01,0,5.23,0.44,0.82,0,0,0,0,2.45,87.47,38.93
"Neogobius.melanostomus",0,0,0.04,30.07,0.86,3.18,59.45,9.62,45.16,86.75,58.61,60.84,43.32,45.15,13.48,36.65,50.6,55.29,0.06,0.03,37.97,88.48,64.16,48.31,84.72,43.86,0,4.3
"Nerophis.ophidion",3.05,0.09,28.12,47.74,10.16,44.27,58.91,63.22,57.1,0.01,60.7,0,68.15,56.41,60.2,0,0,0,0,0,0,0,0.14,53.61,3.64,0,0,0
"Osmerus.eperlanus",1.56,0.14,0.67,34.29,0.69,5.25,31.35,45.09,43.8,0,30.17,0,50.9,44.12,42.74,7.5,0,0,0,0,2.26,0,0.06,44.06,3.18,0,0,0
"Perca.fluviatilis",100,100,100,96.57,100,100,88.54,3.27,34.32,0.84,90.98,0.03,34.95,36.18,4.59,0,0,0,0,0,0,0,0.14,28.99,11.4,0.02,0,0
"Phoxinus.phoxinus",1.53,2,0.32,2.61,0.01,1.29,6.58,0.65,3.75,0,5.19,0.02,6.73,3.61,0.7,0,0,0,0,0,0,0,0.02,7.67,0.02,0,0,0
"Platichthys.flesus",0.02,0,0.01,22.92,0.4,1.15,54.42,60.35,74.29,100,54.77,100,76.77,73.02,64.15,100,100,100,100,100,100,100,99.94,83.17,99.17,100,99.12,99.18
"Pleuronectes.platessa",0,0,0,1.49,0,0,12.98,30.09,30.09,99.99,10.99,99.99,19.45,29.82,32.46,100,100,100,100,100,100,100,99.84,43.91,92.3,100,100,100
"Pollachius.pollachius",0,0,0,0,0,0,0.52,0.18,0.05,5.32,0.63,6.66,0.15,0.15,0.17,6.04,13.94,28.63,73.3,24.92,11.39,0.02,1.44,2.46,5.57,11.08,85.27,50.96
"Pollachius.virens",0,0,0,0,0,0,2.12,0.95,0.45,22.67,1.99,32.37,1,0.74,0.89,20.68,16.5,91.76,99.98,87.31,32.92,0.04,17.37,12.47,22.04,32.18,90.76,66.22
"Pomatoschistus.minutus",0,0,0,3.34,0.01,0.1,16.68,29.82,36.27,98.23,15.41,96.16,29.14,36.34,31.11,85.76,99.59,94.9,89.32,97.6,98.91,100,90.14,46.67,90.26,97.34,100,99.81
"Pungitius.pungitius",2.62,2.54,4.25,14.81,0.2,10.63,22.38,66.87,29.1,0,24.93,0,32.55,26.69,63.39,3.53,0,0,0,0,0,0,0.02,19.6,0.51,0,0,0
"Rutilus.rutilus",97.48,100,99.93,87.89,99.98,99.92,84.39,1.09,21.82,3.34,87.17,0.12,19.03,23.31,1.57,0,0,0.78,0,0,0,0,0.06,12.69,10.95,0.04,0,0
"Salmo.salar",39.13,7.23,17.57,68.46,10.85,27.52,78.68,99.16,92.41,47.01,78.33,30.87,93.69,91.43,98.29,44.36,3.06,0,0.05,0.05,13.06,4.94,55.59,70.15,50.74,21.07,0.17,0.39
