cluster_name,zone,n_species,salinity_purity,functional_entropy,dominant_func_group,dominant_fg_prop,substrate_purity,depth_coherence,dominant_depth_zone,helcom_best_match,helcom_score,helcom_top3
Zone1_A,Zone1,20,1.0,1.399,submerged_macrophyte,0.35,0.6,0.75,infralittoral,Charophyte meadows (oligohaline),0.364,Charophyte meadows (oligohaline) (0.36) | Baltic profundal soft bottom (Monoporeia/Halicryptus community) (0.25) | Ruppia / charophyte lagoon (oligo-mesohaline) (0.11)
Zone1_B,Zone1,7,0.857,0.956,submerged_macrophyte,0.571,0.857,0.857,infralittoral,Ruppia / charophyte lagoon (oligo-mesohaline),0.333,Ruppia / charophyte lagoon (oligo-mesohaline) (0.33) | Zostera marina / seagrass beds (0.25) | Charophyte meadows (oligohaline) (0.18)
Zone1_C,Zone1,14,1.0,1.061,emergent_macrophyte,0.429,1.0,0.643,infralittoral,Freshwater/oligohaline macrophyte beds,0.727,Freshwater/oligohaline macrophyte beds (0.73) | Ruppia / charophyte lagoon (oligo-mesohaline) (0.11) | Charophyte meadows (oligohaline) (0.00)
Zone1_D,Zone1,28,0.963,0.956,submerged_macrophyte,0.481,0.889,0.519,infralittoral,No match,0.0,Charophyte meadows (oligohaline) (0.00) | Freshwater/oligohaline macrophyte beds (0.00) | Baltic profundal soft bottom (Monoporeia/Halicryptus community) (0.00)
Zone1_E,Zone1,10,1.0,0.898,submerged_macrophyte,0.6,1.0,0.7,infralittoral,Freshwater/oligohaline macrophyte beds,0.182,Freshwater/oligohaline macrophyte beds (0.18) | Charophyte meadows (oligohaline) (0.00) | Baltic profundal soft bottom (Monoporeia/Halicryptus community) (0.00)
Zone2_A,Zone2,32,0.812,1.454,emergent_macrophyte,0.344,0.812,0.656,infralittoral,Freshwater/oligohaline macrophyte beds,0.636,Freshwater/oligohaline macrophyte beds (0.64) | Charophyte meadows (oligohaline) (0.09) | Baltic profundal soft bottom (Monoporeia/Halicryptus community) (0.00)
Zone2_B,Zone2,11,1.0,1.162,submerged_macrophyte,0.455,0.909,0.545,infralittoral,Ruppia / charophyte lagoon (oligo-mesohaline),0.222,Ruppia / charophyte lagoon (oligo-mesohaline) (0.22) | Freshwater/oligohaline macrophyte beds (0.18) | Charophyte meadows (oligohaline) (0.09)
Zone2_C,Zone2,22,1.0,0.837,submerged_macrophyte,0.545,0.636,0.909,infralittoral,Ruppia / charophyte lagoon (oligo-mesohaline),0.778,Ruppia / charophyte lagoon (oligo-mesohaline) (0.78) | Charophyte meadows (oligohaline) (0.64) | Zostera marina / seagrass beds (0.38)
Zone2_D,Zone2,9,1.0,0.687,deposit_feeder,0.556,0.778,0.667,profundal,Baltic profundal soft bottom (Monoporeia/Halicryptus community),0.875,Baltic profundal soft bottom (Monoporeia/Halicryptus community) (0.88) | Baltic brackish soft bottom (mixed infauna) (0.33) | Estuarine soft bottom (mesohaline intertidal/infralittoral) (0.18)
Zone2_E,Zone2,28,1.0,1.341,macroalga,0.357,0.464,0.929,infralittoral,Mytilus / barnacle mussel beds,0.875,Mytilus / barnacle mussel beds (0.88) | Fucus vesiculosus / mixed macrophyte belt (mesohaline) (0.73) | Estuarine soft bottom (mesohaline intertidal/infralittoral) (0.55)
Zone3_A,Zone3,39,0.744,1.764,submerged_macrophyte,0.333,0.538,0.769,infralittoral,Ruppia / charophyte lagoon (oligo-mesohaline),0.889,Ruppia / charophyte lagoon (oligo-mesohaline) (0.89) | Charophyte meadows (oligohaline) (0.64) | Zostera marina / seagrass beds (0.50)
Zone3_B,Zone3,15,1.0,0.861,macroalga,0.667,0.467,1.0,infralittoral,Fucus vesiculosus / mixed macrophyte belt (mesohaline),0.455,Fucus vesiculosus / mixed macrophyte belt (mesohaline) (0.45) | Mytilus / barnacle mussel beds (0.12) | Subtidal red/brown algae assemblage (mesohaline–polyhaline) (0.09)
Zone3_C,Zone3,22,0.955,0.709,macroalga,0.727,0.727,0.864,infralittoral,Zostera marina / seagrass beds,0.375,Zostera marina / seagrass beds (0.38) | Subtidal red/brown algae assemblage (mesohaline–polyhaline) (0.36) | Estuarine soft bottom (mesohaline intertidal/infralittoral) (0.09)
Zone3_D,Zone3,27,1.0,1.435,deposit_feeder,0.37,0.444,0.926,infralittoral,Estuarine soft bottom (mesohaline intertidal/infralittoral),0.818,Estuarine soft bottom (mesohaline intertidal/infralittoral) (0.82) | Mytilus / barnacle mussel beds (0.75) | Fucus vesiculosus / mixed macrophyte belt (mesohaline) (0.45)
Zone3_E,Zone3,7,1.0,0.683,deposit_feeder,0.571,1.0,0.571,profundal,Baltic profundal soft bottom (Monoporeia/Halicryptus community),0.75,Baltic profundal soft bottom (Monoporeia/Halicryptus community) (0.75) | Baltic brackish soft bottom (mixed infauna) (0.22) | Charophyte meadows (oligohaline) (0.00)
Zone3_F,Zone3,38,0.611,1.344,predator,0.333,0.694,0.722,circalittoral,Baltic brackish soft bottom (mixed infauna),0.222,Baltic brackish soft bottom (mixed infauna) (0.22) | Subtidal red/brown algae assemblage (mesohaline–polyhaline) (0.09) | Charophyte meadows (oligohaline) (0.00)
Zone4_A,Zone4,16,1.0,1.041,macroalga,0.625,0.812,0.875,infralittoral,Kattegat kelp / high-salinity macroalgae,0.167,Kattegat kelp / high-salinity macroalgae (0.17) | Fucus vesiculosus / mixed macrophyte belt (mesohaline) (0.09) | Charophyte meadows (oligohaline) (0.00)
Zone4_B,Zone4,6,1.0,-0.0,macroalga,1.0,1.0,0.833,circalittoral,Kattegat kelp / high-salinity macroalgae,0.25,Kattegat kelp / high-salinity macroalgae (0.25) | Subtidal red/brown algae assemblage (mesohaline–polyhaline) (0.09) | Charophyte meadows (oligohaline) (0.00)
Zone4_C,Zone4,21,0.857,2.004,deposit_feeder,0.19,0.429,0.524,infralittoral,Freshwater/oligohaline macrophyte beds,0.091,Freshwater/oligohaline macrophyte beds (0.09) | Charophyte meadows (oligohaline) (0.00) | Baltic profundal soft bottom (Monoporeia/Halicryptus community) (0.00)
Zone4_D,Zone4,30,1.0,1.212,macroalga,0.533,0.367,0.933,infralittoral,Zostera marina / seagrass beds,1.0,Zostera marina / seagrass beds (1.00) | Fucus vesiculosus / mixed macrophyte belt (mesohaline) (0.27) | Ruppia / charophyte lagoon (oligo-mesohaline) (0.22)
Zone4_E,Zone4,26,1.0,1.432,filter_feeder,0.385,0.577,0.808,circalittoral,No match,0.0,Charophyte meadows (oligohaline) (0.00) | Freshwater/oligohaline macrophyte beds (0.00) | Baltic profundal soft bottom (Monoporeia/Halicryptus community) (0.00)
Zone4_F,Zone4,17,1.0,1.251,predator,0.375,0.75,0.812,circalittoral,Baltic brackish soft bottom (mixed infauna),0.111,Baltic brackish soft bottom (mixed infauna) (0.11) | Charophyte meadows (oligohaline) (0.00) | Freshwater/oligohaline macrophyte beds (0.00)
Zone4_G,Zone4,28,1.0,1.428,macroalga,0.321,0.357,0.714,infralittoral,Kattegat sandy infralittoral (Echinocardium/Lanice community),0.889,Kattegat sandy infralittoral (Echinocardium/Lanice community) (0.89) | Kattegat kelp / high-salinity macroalgae (0.17) | Charophyte meadows (oligohaline) (0.00)
Zone4_H,Zone4,32,1.0,1.363,macroalga,0.531,0.562,0.625,circalittoral,Kattegat kelp / high-salinity macroalgae,0.25,Kattegat kelp / high-salinity macroalgae (0.25) | Kattegat sandy infralittoral (Echinocardium/Lanice community) (0.11) | Baltic brackish soft bottom (mixed infauna) (0.11)
Zone4_I,Zone4,24,1.0,-0.0,macroalga,1.0,0.957,0.913,infralittoral,Subtidal red/brown algae assemblage (mesohaline–polyhaline),0.818,Subtidal red/brown algae assemblage (mesohaline–polyhaline) (0.82) | Fucus vesiculosus / mixed macrophyte belt (mesohaline) (0.18) | Mytilus / barnacle mussel beds (0.12)
Zone4_J,Zone4,21,1.0,1.228,deposit_feeder,0.571,0.762,1.0,circalittoral,Kattegat deep mud (Brissopsis community),0.6,Kattegat deep mud (Brissopsis community) (0.60) | Charophyte meadows (oligohaline) (0.00) | Freshwater/oligohaline macrophyte beds (0.00)
Zone4_K,Zone4,41,1.0,1.36,deposit_feeder,0.439,0.902,1.0,circalittoral,Kattegat deep soft bottom (Amphiura community),1.0,Kattegat deep soft bottom (Amphiura community) (1.00) | Kattegat deep mud (Brissopsis community) (0.20) | Charophyte meadows (oligohaline) (0.00)
