"species","colour","cluster","cluster_int","cluster_name"
"Mya.arenaria","#00AD9A","D",4,"Zone1_D"
"Cerastoderma.glaucum","#00AD9A","D",4,"Zone1_D"
"Hediste.diversicolor","#00AD9A","D",4,"Zone1_D"
"Gammarus.oceanicus","#00AD9A","D",4,"Zone1_D"
"Theodoxus.fluviatilis","#00AD9A","D",4,"Zone1_D"
"Ecrobia.ventrosa","#00AD9A","D",4,"Zone1_D"
"Peringia.ulvae","#00AD9A","D",4,"Zone1_D"
"Neomysis.integer","#00AD9A","D",4,"Zone1_D"
"Pygospio.elegans","#00AD9A","D",4,"Zone1_D"
"Battersia.arctica","#00AD9A","D",4,"Zone1_D"
"Limecola.balthica","#00AD9A","D",4,"Zone1_D"
"Marenzelleria","#00AD9A","D",4,"Zone1_D"
"Corophium.volutator","#00AD9A","D",4,"Zone1_D"
"Cyanophthalma.obscura","#00AD9A","D",4,"Zone1_D"
"Gammarus.zaddachi","#00AD9A","D",4,"Zone1_D"
"Bathyporeia.pilosa","#00AD9A","D",4,"Zone1_D"
"Amphibalanus.improvisus","#00AD9A","D",4,"Zone1_D"
"Gammarus.salinus","#00AD9A","D",4,"Zone1_D"
"Jaera.albifrons","#00AD9A","D",4,"Zone1_D"
"Zannichellia.major","#00AD9A","D",4,"Zone1_D"
"Chorda.filum","#00AD9A","D",4,"Zone1_D"
"Eudesme.virescens","#00AD9A","D",4,"Zone1_D"
"Fucus.vesiculosus.radicans","#00AD9A","D",4,"Zone1_D"
"Stictyosiphon.tortilis","#00AD9A","D",4,"Zone1_D"
"Dictyosiphon.foeniculaceus","#00AD9A","D",4,"Zone1_D"
"Elachista.fucicola","#00AD9A","D",4,"Zone1_D"
"Rhodochorton.purpureum","#00AD9A","D",4,"Zone1_D"
"Cladophora.rupestris","#00AD9A","D",4,"Zone1_D"
"Vertebrata.fucoides","#00AD9A","D",4,"Zone1_D"
"Ceramium.tenuicorne","#00AD9A","D",4,"Zone1_D"
"Ectocarpus.Pylaiella","#00AD9A","D",4,"Zone1_D"
"Coccotylus.Phyllophora","#00AD9A","D",4,"Zone1_D"
"Furcellaria.lumbricalis","#00AD9A","D",4,"Zone1_D"
"Gaillona.rosea","#00AD9A","D",4,"Zone1_D"
"Einhornia.crustulenta","#00AD9A","D",4,"Zone1_D"
"Ampithoe.rubricata","#00AD9A","D",4,"Zone1_D"
"Mytilus","#00AD9A","D",4,"Zone1_D"
"Alisma.wahlenbergii","#909800","C",3,"Zone1_C"
"Eleocharis.mamillata","#909800","C",3,"Zone1_C"
"Cicuta.virosa","#909800","C",3,"Zone1_C"
"Eleocharis.parvula","#909800","C",3,"Zone1_C"
"Chara.virgata","#909800","C",3,"Zone1_C"
