"cluster_1","cluster_2","n_species_1","n_species_2","n_shared","pct_of_cluster_1","pct_of_cluster_2","total_pct"
"Zone2_B","Zone3_C",14,11,8,57.1,72.7,47.1
"Zone1_D","Zone2_A",27,17,14,51.9,82.4,46.7
"Zone2_A","Zone3_D",17,25,13,76.5,52,44.8
"Zone1_B","Zone2_F",20,15,10,50,66.7,40
"Zone3_C","Zone4_F",11,12,6,54.5,50,35.3
"Zone1_D","Zone3_D",27,25,13,48.1,52,33.3
"Zone3_A","Zone4_F",12,12,5,41.7,41.7,26.3
"Zone1_D","Zone2_C",27,12,8,29.6,66.7,25.8
"Zone2_F","Zone3_B",15,10,5,33.3,50,25
"Zone2_E","Zone4_A",10,20,5,50,25,20
"Zone1_B","Zone2_G",20,11,5,25,45.5,19.2
"Zone2_B","Zone4_F",14,12,4,28.6,33.3,18.2
"Zone3_B","Zone4_C",10,47,8,80,17,16.3
"Zone2_B","Zone3_D",14,25,5,35.7,20,14.7
"Zone1_B","Zone2_C",20,12,4,20,33.3,14.3
"Zone2_D","Zone3_C",5,11,2,40,18.2,14.3
"Zone3_D","Zone4_C",25,47,9,36,19.1,14.3
"Zone1_D","Zone2_B",27,14,5,18.5,35.7,13.9
"Zone2_F","Zone4_C",15,47,7,46.7,14.9,12.7
"Zone2_A","Zone4_C",17,47,7,41.2,14.9,12.3
"Zone1_B","Zone4_C",20,47,7,35,14.9,11.7
"Zone3_D","Zone4_I",25,33,6,24,18.2,11.5
"Zone1_B","Zone3_B",20,10,3,15,30,11.1
"Zone1_A","Zone2_E",62,10,7,11.3,70,10.8
"Zone2_G","Zone4_C",11,47,5,45.5,10.6,9.4
"Zone1_D","Zone4_C",27,47,5,18.5,10.6,7.2
"Zone1_C","Zone2_E",21,10,2,9.5,20,6.9
"Zone3_A","Zone4_A",12,20,2,16.7,10,6.7
"Zone1_A","Zone4_A",62,20,5,8.1,25,6.5
"Zone1_A","Zone2_D",62,5,4,6.5,80,6.3
"Zone2_D","Zone4_F",5,12,1,20,8.3,6.2
"Zone1_D","Zone3_C",27,11,2,7.4,18.2,5.6
"Zone1_D","Zone4_I",27,33,3,11.1,9.1,5.3
"Zone2_B","Zone4_C",14,47,3,21.4,6.4,5.2
"Zone2_C","Zone4_I",12,33,2,16.7,6.1,4.7
"Zone2_G","Zone3_A",11,12,1,9.1,8.3,4.5
"Zone2_B","Zone4_I",14,33,2,14.3,6.1,4.4
"Zone1_A","Zone2_G",62,11,3,4.8,27.3,4.3
"Zone1_A","Zone3_C",62,11,3,4.8,27.3,4.3
"Zone2_A","Zone4_I",17,33,2,11.8,6.1,4.2
"Zone3_C","Zone4_C",11,47,2,18.2,4.3,3.6
"Zone2_G","Zone3_D",11,25,1,9.1,4,2.9
"Zone1_A","Zone4_F",62,12,2,3.2,16.7,2.8
"Zone1_A","Zone4_C",62,47,3,4.8,6.4,2.8
"Zone2_C","Zone3_D",12,25,1,8.3,4,2.8
"Zone2_C","Zone4_H",12,25,1,8.3,4,2.8
"Zone3_A","Zone4_E",12,25,1,8.3,4,2.8
"Zone1_A","Zone2_B",62,14,2,3.2,14.3,2.7
"Zone1_D","Zone4_F",27,12,1,3.7,8.3,2.6
"Zone2_C","Zone4_D",12,28,1,8.3,3.6,2.6
"Zone3_A","Zone4_D",12,28,1,8.3,3.6,2.6
"Zone1_C","Zone4_A",21,20,1,4.8,5,2.5
"Zone3_B","Zone4_I",10,33,1,10,3,2.4
"Zone1_B","Zone4_D",20,28,1,5,3.6,2.1
"Zone2_F","Zone4_I",15,33,1,6.7,3,2.1
"Zone1_D","Zone4_H",27,25,1,3.7,4,2
"Zone2_G","Zone4_G",11,40,1,9.1,2.5,2
"Zone3_A","Zone4_G",12,40,1,8.3,2.5,2
"Zone1_B","Zone4_I",20,33,1,5,3,1.9
"Zone3_A","Zone4_J",12,46,1,8.3,2.2,1.8
"Zone2_C","Zone4_C",12,47,1,8.3,2.1,1.7
"Zone3_A","Zone4_C",12,47,1,8.3,2.1,1.7
"Zone1_A","Zone2_F",62,15,1,1.6,6.7,1.3
"Zone1_A","Zone4_B",62,14,1,1.6,7.1,1.3
"Zone1_A","Zone3_D",62,25,1,1.6,4,1.2
"Zone1_D","Zone1_C",27,21,0,0,0,0
"Zone1_D","Zone1_B",27,20,0,0,0,0
"Zone1_D","Zone1_A",27,62,0,0,0,0
"Zone1_D","Zone2_G",27,11,0,0,0,0
"Zone1_D","Zone2_F",27,15,0,0,0,0
"Zone1_D","Zone2_E",27,10,0,0,0,0
"Zone1_D","Zone2_D",27,5,0,0,0,0
"Zone1_D","Zone3_B",27,10,0,0,0,0
"Zone1_D","Zone3_A",27,12,0,0,0,0
"Zone1_D","Zone4_K",27,15,0,0,0,0
"Zone1_D","Zone4_J",27,46,0,0,0,0
"Zone1_D","Zone4_G",27,40,0,0,0,0
"Zone1_D","Zone4_E",27,25,0,0,0,0
"Zone1_D","Zone4_D",27,28,0,0,0,0
"Zone1_D","Zone4_B",27,14,0,0,0,0
"Zone1_D","Zone4_A",27,20,0,0,0,0
"Zone1_C","Zone1_B",21,20,0,0,0,0
"Zone1_C","Zone1_A",21,62,0,0,0,0
"Zone1_C","Zone2_G",21,11,0,0,0,0
"Zone1_C","Zone2_F",21,15,0,0,0,0
"Zone1_C","Zone2_D",21,5,0,0,0,0
"Zone1_C","Zone2_C",21,12,0,0,0,0
"Zone1_C","Zone2_B",21,14,0,0,0,0
"Zone1_C","Zone2_A",21,17,0,0,0,0
"Zone1_C","Zone3_D",21,25,0,0,0,0
"Zone1_C","Zone3_C",21,11,0,0,0,0
"Zone1_C","Zone3_B",21,10,0,0,0,0
"Zone1_C","Zone3_A",21,12,0,0,0,0
"Zone1_C","Zone4_K",21,15,0,0,0,0
"Zone1_C","Zone4_J",21,46,0,0,0,0
"Zone1_C","Zone4_I",21,33,0,0,0,0
"Zone1_C","Zone4_H",21,25,0,0,0,0
"Zone1_C","Zone4_G",21,40,0,0,0,0
"Zone1_C","Zone4_F",21,12,0,0,0,0
"Zone1_C","Zone4_E",21,25,0,0,0,0
"Zone1_C","Zone4_D",21,28,0,0,0,0
"Zone1_C","Zone4_C",21,47,0,0,0,0
"Zone1_C","Zone4_B",21,14,0,0,0,0
"Zone1_B","Zone1_A",20,62,0,0,0,0
"Zone1_B","Zone2_E",20,10,0,0,0,0
"Zone1_B","Zone2_D",20,5,0,0,0,0
"Zone1_B","Zone2_B",20,14,0,0,0,0
"Zone1_B","Zone2_A",20,17,0,0,0,0
"Zone1_B","Zone3_D",20,25,0,0,0,0
"Zone1_B","Zone3_C",20,11,0,0,0,0
"Zone1_B","Zone3_A",20,12,0,0,0,0
"Zone1_B","Zone4_K",20,15,0,0,0,0
"Zone1_B","Zone4_J",20,46,0,0,0,0
"Zone1_B","Zone4_H",20,25,0,0,0,0
"Zone1_B","Zone4_G",20,40,0,0,0,0
"Zone1_B","Zone4_F",20,12,0,0,0,0
"Zone1_B","Zone4_E",20,25,0,0,0,0
"Zone1_B","Zone4_B",20,14,0,0,0,0
"Zone1_B","Zone4_A",20,20,0,0,0,0
"Zone1_A","Zone2_C",62,12,0,0,0,0
"Zone1_A","Zone2_A",62,17,0,0,0,0
"Zone1_A","Zone3_B",62,10,0,0,0,0
"Zone1_A","Zone3_A",62,12,0,0,0,0
"Zone1_A","Zone4_K",62,15,0,0,0,0
"Zone1_A","Zone4_J",62,46,0,0,0,0
"Zone1_A","Zone4_I",62,33,0,0,0,0
"Zone1_A","Zone4_H",62,25,0,0,0,0
"Zone1_A","Zone4_G",62,40,0,0,0,0
"Zone1_A","Zone4_E",62,25,0,0,0,0
"Zone1_A","Zone4_D",62,28,0,0,0,0
"Zone2_G","Zone2_F",11,15,0,0,0,0
"Zone2_G","Zone2_E",11,10,0,0,0,0
"Zone2_G","Zone2_D",11,5,0,0,0,0
"Zone2_G","Zone2_C",11,12,0,0,0,0
"Zone2_G","Zone2_B",11,14,0,0,0,0
"Zone2_G","Zone2_A",11,17,0,0,0,0
"Zone2_G","Zone3_C",11,11,0,0,0,0
"Zone2_G","Zone3_B",11,10,0,0,0,0
