"species","colour","cluster","cluster_int"
"Battersia.arctica","#50A315","F",6
"Gammarus.salinus","#50A315","F",6
"Gammarus.zaddachi","#50A315","F",6
"Corophium.volutator","#50A315","F",6
"Jaera.albifrons","#50A315","F",6
"Ecrobia.ventrosa","#50A315","F",6
"Gammarus.oceanicus","#50A315","F",6
"Theodoxus.fluviatilis","#50A315","F",6
"Peringia.ulvae","#50A315","F",6
"Amphibalanus.improvisus","#50A315","F",6
"Mya.arenaria","#50A315","F",6
"Cerastoderma.glaucum","#50A315","F",6
"Hediste.diversicolor","#50A315","F",6
"Pygospio.elegans","#50A315","F",6
"Bathyporeia.pilosa","#50A315","F",6
"Cyanophthalma.obscura","#50A315","F",6
"Dictyosiphon.foeniculaceus","#50A315","F",6
"Neomysis.integer","#50A315","F",6
"Cladophora.rupestris","#50A315","F",6
"Elachista.fucicola","#50A315","F",6
"Rhodochorton.purpureum","#50A315","F",6
"Rhodomela.confervoides","#50A315","F",6
"Einhornia.crustulenta","#50A315","F",6
"Ampithoe.rubricata","#50A315","F",6
"Mytilus","#50A315","F",6
"Eudesme.virescens","#50A315","F",6
"Ceramium.tenuicorne","#50A315","F",6
"Ectocarpus.Pylaiella","#50A315","F",6
"Gaillona.rosea","#50A315","F",6
"Furcellaria.lumbricalis","#50A315","F",6
"Coccotylus.Phyllophora","#50A315","F",6
"Vertebrata.fucoides","#50A315","F",6
"Marenzelleria","#009ADE","E",5
"Halicryptus.spinulosus","#009ADE","E",5
"Limecola.balthica","#009ADE","E",5
"Mysis.mixta","#009ADE","E",5
"Mysis.relicta","#009ADE","E",5
"Pontoporeia.femorata","#009ADE","E",5
"Monoporeia.affinis","#009ADE","E",5
"Saduria.entomon","#009ADE","E",5
"Ruppia.cirrhosa","#C86DD7","D",4
"Zannichellia.palustris","#C86DD7","D",4
"Potamogeton.perfoliatus","#C86DD7","D",4
"Gammarus.tigrinus","#C86DD7","D",4
"Ruppia.maritima","#C86DD7","D",4
"Chara.baltica","#C86DD7","D",4
"Chara.canescens","#C86DD7","D",4
"Myriophyllum.spicatum","#C86DD7","D",4
"Stuckenia.pectinata","#C86DD7","D",4
"Zannichellia.major","#C86DD7","D",4
"Chorda.filum","#C86DD7","D",4
"Fucus.vesiculosus.radicans","#C86DD7","D",4
"Schoenoplectus.tabernaemontani","#E16A86","C",3
"Ulva.prolifera","#E16A86","C",3
"Chara.aspera","#E16A86","C",3
"Ranunculus.peltatus.peltatus","#E16A86","C",3
"Rangia.cuneata","#E16A86","C",3
"Chaetomorpha.linum","#E16A86","C",3
"Chara.connivens","#E16A86","C",3
"Rhizoclonium.riparium","#E16A86","C",3
"Leathesia.marina","#E16A86","C",3
"Urospora.penicilliformis","#E16A86","C",3
"Chara.tomentosa","#B88A00","B",2
"Najas.marina","#B88A00","B",2
"Ceratophyllum.demersum","#B88A00","B",2
"Phragmites.australis","#B88A00","B",2
"Hippuris.vulgaris","#B88A00","B",2
"Ranunculus.aquatilis","#B88A00","B",2
"Triglochin.maritima","#00AD9A","A",1
"Eleocharis.uniglumis","#00AD9A","A",1
"Juncus.gerardii","#00AD9A","A",1
"Lemna.minor","#00AD9A","A",1
"Bolboschoenus.maritimus","#00AD9A","A",1
"Monostroma.balticum","#00AD9A","A",1
"Chara.horrida","#00AD9A","A",1
"Schoenoplectus.lacustris","#00AD9A","A",1
"Cerastoderma.edule","#00AD9A","A",1
"Corophium.multisetosum","#00AD9A","A",1
"Ulva.linza","#00AD9A","A",1
"Eleocharis.parvula","#00AD9A","A",1
"Potamogeton.obtusifolius","#00AD9A","A",1
"Ericthonius.brasiliensis","#00AD9A","A",1
"Spio.arndti","#00AD9A","A",1
"Dreissena.polymorpha","#00AD9A","A",1
"Ascidiella.aspersa","#00AD9A","A",1
"Stictyosiphon.tortilis","#00AD9A","A",1
