salinity_min,salinity_max,sal_midpoint,depth_zone,functional_group,substrate,trait_source,species
0.0,3.0,0.0,infralittoral,macroalga,soft,tier1,Zygnema
0.0,3.0,0.0,littoral,emergent_macrophyte,soft,tier1,Crassula aquatica
0.0,2.0,0.0,littoral,emergent_macrophyte,soft,tier1,Persicaria foliosa
0.0,2.0,0.0,infralittoral,submerged_macrophyte,soft,tier1,Elodea canadensis
0.0,2.0,0.0,infralittoral,submerged_macrophyte,soft,tier1,Elodea nuttallii
0.0,3.0,0.0,littoral,emergent_macrophyte,soft,tier1,Equisetum fluviatile
0.0,3.0,1.0,infralittoral,submerged_macrophyte,soft,tier1,Potamogeton friesii
0.0,2.0,0.0,infralittoral,submerged_macrophyte,soft,tier1,Sagittaria natans
0.0,3.0,0.0,infralittoral,submerged_macrophyte,soft,tier1,Chara braunii
0.0,3.0,0.0,infralittoral,submerged_macrophyte,soft,tier1,Nitella wahlbergiana
0.0,5.0,1.0,infralittoral,submerged_macrophyte,soft,tier1,Potamogeton gramineus
0.0,5.0,1.0,infralittoral,submerged_macrophyte,soft,tier1,Callitriche hermaphroditica
0.0,3.0,0.0,infralittoral,submerged_macrophyte,soft,tier1,Myriophyllum alterniflorum
0.0,10.0,3.0,littoral,emergent_macrophyte,soft,tier1,Eleocharis uniglumis
0.0,2.0,0.0,littoral,emergent_macrophyte,soft,tier1,Limosella aquatica
0.0,5.0,1.0,infralittoral,submerged_macrophyte,soft,tier1,Potamogeton pusillus
0.0,3.0,0.0,littoral,emergent_macrophyte,soft,tier1,Eleocharis acicularis
0.0,2.0,0.0,infralittoral,submerged_macrophyte,sand,tier1,Subularia aquatica
0.0,3.0,0.0,littoral,emergent_macrophyte,soft,tier1,Callitriche palustris
0.0,3.0,1.0,infralittoral,submerged_macrophyte,soft,tier1,Potamogeton berchtoldii
0.0,3.0,0.0,littoral,submerged_macrophyte,soft,tier1,Ranunculus reptans
,,,,,,unknown,Caltha palustris
0.0,3.0,0.0,infralittoral,submerged_macrophyte,soft,tier1,Elatine hydropiper
0.0,3.0,0.0,infralittoral,macroalga,rock,tier1,Fontinalis hypnoides
0.0,3.0,0.0,littoral,emergent_macrophyte,soft,tier1,Eleocharis mamillata
0.0,2.0,0.0,littoral,emergent_macrophyte,soft,tier1,Cicuta virosa
0.0,3.0,0.0,littoral,emergent_macrophyte,soft,tier1,Alisma wahlenbergii
0.0,10.0,3.0,littoral,emergent_macrophyte,soft,tier1,Eleocharis parvula
0.0,3.0,0.0,infralittoral,floating_macrophyte,pelagic,tier1,Lemna trisulca
0.0,5.0,1.0,infralittoral,submerged_macrophyte,soft,tier1,Myriophyllum sibiricum
0.0,8.0,2.0,littoral,emergent_macrophyte,soft,tier1,Hippuris vulgaris
0.0,15.0,5.0,littoral,emergent_macrophyte,soft,tier1,Schoenoplectus tabernaemontani
0.0,3.0,0.0,littoral,emergent_macrophyte,soft,tier1,Eleocharis palustris
0.0,5.0,1.0,infralittoral,submerged_macrophyte,soft,tier1,Ranunculus peltatus peltatus
0.0,5.0,1.0,infralittoral,submerged_macrophyte,soft,tier1,Chara virgata
5.0,30.0,15.0,supralittoral,emergent_macrophyte,soft,tier1,Triglochin maritima
0.0,3.0,1.0,infralittoral,submerged_macrophyte,soft,tier1,Potamogeton obtusifolius
0.0,2.0,0.0,infralittoral,submerged_macrophyte,soft,tier1,Utricularia vulgaris
0.0,2.0,0.0,infralittoral,submerged_macrophyte,soft,tier1,Sagittaria sagittifolia
0.0,3.0,0.0,infralittoral,emergent_macrophyte,soft,tier1,Sparganium emersum
0.0,5.0,1.0,littoral,emergent_macrophyte,soft,tier1,Schoenoplectus lacustris
0.0,3.0,1.0,infralittoral,floating_macrophyte,soft,tier1,Potamogeton natans
0.0,2.0,0.0,infralittoral,floating_macrophyte,soft,tier1,Nuphar lutea
0.0,2.0,0.0,infralittoral,floating_macrophyte,soft,tier1,Nymphaea alba
0.0,3.0,0.0,infralittoral,submerged_macrophyte,soft,tier1,Myriophyllum verticillatum
0.0,2.0,0.0,littoral,emergent_macrophyte,soft,tier1,Typha latifolia
0.0,3.0,0.0,littoral,emergent_macrophyte,soft,tier1,Butomus umbellatus
0.0,5.0,1.0,infralittoral,submerged_macrophyte,soft,tier1,Potamogeton crispus
0.0,8.0,3.0,infralittoral,submerged_macrophyte,soft,tier1,Najas marina
0.0,2.0,0.0,littoral,emergent_macrophyte,soft,tier1,Typha angustifolia
0.0,5.0,1.0,infralittoral,submerged_macrophyte,soft,tier1,Ceratophyllum demersum
0.0,15.0,3.0,littoral,emergent_macrophyte,soft,tier1,Phragmites australis
0.0,8.0,2.0,infralittoral,submerged_macrophyte,soft,tier1,Chara connivens
0.0,15.0,5.0,littoral,macroalga,soft,tier1,Rhizoclonium riparium
0.0,8.0,3.0,infralittoral,filter_feeder,rock,tier1,Dreissena polymorpha
0.0,10.0,3.0,infralittoral,submerged_macrophyte,soft,tier1,Myriophyllum spicatum
5.0,25.0,10.0,infralittoral,submerged_macrophyte,soft,tier1,Ruppia cirrhosa
2.0,20.0,8.0,infralittoral,macroalga,soft,tier1,Chaetomorpha linum
0.0,15.0,5.0,infralittoral,submerged_macrophyte,soft,tier1,Stuckenia pectinata
0.0,8.0,3.0,infralittoral,submerged_macrophyte,soft,tier1,Potamogeton perfoliatus
0.0,15.0,5.0,littoral,macroalga,soft,tier1,Vaucheria
0.0,10.0,3.0,infralittoral,submerged_macrophyte,soft,tier1,Chara aspera
0.0,15.0,5.0,infralittoral,submerged_macrophyte,soft,tier1,Zannichellia palustris
0.0,3.0,0.0,infralittoral,macroalga,rock,tier1,Fontinalis antipyretica
0.0,5.0,1.0,infralittoral,macroalga,soft,tier1,Aegagropila linnaei
2.0,20.0,8.0,infralittoral,deposit_feeder,soft,tier1,Corophium volutator
0.0,3.0,0.0,infralittoral,submerged_macrophyte,soft,tier1,Nitella flexilis
3.0,20.0,8.0,infralittoral,deposit_feeder,rock,tier1,Cyanophthalma obscura
0.0,15.0,5.0,infralittoral,predator,mixed,tier1,Gammarus zaddachi
2.0,10.0,4.0,profundal,deposit_feeder,soft,tier1,Monoporeia affinis
2.0,10.0,4.0,profundal,predator,pelagic,tier1,Mysis relicta
0.0,3.0,0.0,infralittoral,macroalga,rock,tier1,Fontinalis dalecarlica
0.0,2.0,0.0,infralittoral,macroalga,rock,tier1,Fissidens fontanus
0.0,5.0,1.0,littoral,macroalga,rock,tier1,Ulothrix zonata
0.0,5.0,1.0,infralittoral,submerged_macrophyte,soft,tier1,Potamogeton praelongus
0.0,8.0,3.0,infralittoral,submerged_macrophyte,soft,tier1,Stuckenia vaginata
0.0,5.0,1.0,infralittoral,submerged_macrophyte,soft,tier1,Nitellopsis obtusa
0.0,2.0,0.0,infralittoral,macroalga,rock,tier1,Batrachospermum
0.0,5.0,2.0,littoral,emergent_macrophyte,soft,tier1,Hippuris tetraphylla
5.0,25.0,12.0,infralittoral,deposit_feeder,soft,tier1,Ecrobia ventrosa
3.0,30.0,12.0,infralittoral,predator,rock,tier1,Gammarus oceanicus
0.0,10.0,3.0,infralittoral,deposit_feeder,rock,tier1,Theodoxus fluviatilis
3.0,30.0,12.0,littoral,deposit_feeder,soft,tier1,Peringia ulvae
3.0,30.0,12.0,infralittoral,filter_feeder,rock,tier1,Amphibalanus improvisus
3.0,30.0,12.0,infralittoral,filter_feeder,soft,tier1,Mya arenaria
2.0,20.0,8.0,infralittoral,filter_feeder,soft,tier1,Cerastoderma glaucum
0.0,35.0,12.0,infralittoral,deposit_feeder,soft,tier1,Hediste diversicolor
3.0,18.0,8.0,infralittoral,macroalga,rock,tier1,Battersia arctica
3.0,20.0,10.0,infralittoral,predator,mixed,tier1,Gammarus salinus
3.0,20.0,8.0,littoral,predator,rock,tier1,Jaera albifrons
5.0,25.0,12.0,infralittoral,deposit_feeder,sand,tier1,Bathyporeia pilosa
3.0,25.0,10.0,infralittoral,filter_feeder,rock,tier1,Einhornia crustulenta
3.0,30.0,12.0,infralittoral,macroalga,rock,tier1,Cladophora rupestris
0.0,25.0,8.0,infralittoral,predator,pelagic,tier1,Neomysis integer
3.0,20.0,8.0,infralittoral,macroalga,rock,tier1,Coccotylus Phyllophora
2.0,30.0,12.0,infralittoral,deposit_feeder,soft,tier1,Pygospio elegans
3.0,18.0,8.0,infralittoral,macroalga,rock,tier1,Vertebrata fucoides
3.0,20.0,8.0,infralittoral,macroalga,plant,tier1,Ceramium tenuicorne
2.0,25.0,8.0,infralittoral,macroalga,plant,tier1,Ectocarpus Pylaiella
3.0,25.0,10.0,infralittoral,macroalga,rock,tier1,Furcellaria lumbricalis
3.0,15.0,7.0,infralittoral,macroalga,plant,tier1,Gaillona rosea
3.0,30.0,12.0,infralittoral,macroalga,rock,tier1,Rhodochorton purpureum
3.0,18.0,8.0,infralittoral,macroalga,plant,tier1,Eudesme virescens
3.0,35.0,15.0,infralittoral,filter_feeder,rock,tier1,Mytilus
2.0,10.0,4.0,profundal,deposit_feeder,soft,tier1,Pontoporeia femorata
2.0,15.0,6.0,profundal,predator,soft,tier1,Saduria entomon
2.0,15.0,7.0,profundal,predator,pelagic,tier1,Mysis mixta
5.0,25.0,12.0,circalittoral,predator,soft,tier1,Bylgides sarsi
2.0,20.0,8.0,infralittoral,deposit_feeder,soft,tier1,Marenzelleria
2.0,20.0,7.0,profundal,deposit_feeder,soft,tier1,Halicryptus spinulosus
2.0,25.0,8.0,infralittoral,deposit_feeder,soft,tier1,Limecola balthica
3.0,20.0,8.0,infralittoral,macroalga,plant,tier1,Elachista fucicola
3.0,15.0,7.0,infralittoral,macroalga,plant,tier1,Stictyosiphon tortilis
0.0,10.0,3.0,infralittoral,submerged_macrophyte,soft,tier1,Zannichellia major
3.0,25.0,10.0,infralittoral,macroalga,sand,tier1,Chorda filum
3.0,15.0,7.0,infralittoral,macroalga,plant,tier1,Dictyosiphon foeniculaceus
3.0,15.0,7.0,infralittoral,macroalga,rock,tier1,Fucus vesiculosus radicans
2.0,25.0,8.0,infralittoral,macroalga,rock,tier1,Ulva prolifera
